Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
17/11/2017 01:00,7935.58,7997,7870.35,7899.89,910.62,7221645.64,7930.43
17/11/2017 02:00,7899.89,7917.8,7790.34,7906.77,1075.58,8442699.7,7849.42
17/11/2017 03:00,7906.84,7990,7877.96,7900.5,711.88,5650309.76,7937.13
17/11/2017 04:00,7900.65,7941.9,7865.42,7888.82,375.22,2963511,7898.04
17/11/2017 05:00,7889.91,7956.74,7801.01,7916.85,563.72,4452833.73,7899.03
17/11/2017 06:00,7927.37,7927.37,7830,7858.98,334.89,2638202.73,7877.9
17/11/2017 07:00,7858.88,7858.88,7533,7537.17,2265.11,17367069.31,7667.22
17/11/2017 08:00,7537.03,7745.65,7528.5,7730.73,1501.42,11483036.4,7648.12
17/11/2017 09:00,7722.98,7825.49,7691.76,7763.03,763.78,5929005.36,7762.7
17/11/2017 10:00,7777.91,7877.96,7748.89,7871.96,444.03,3464153.3,7801.64
17/11/2017 11:00,7871.9,7895,7799.96,7807,480.89,3774589.79,7849.16
17/11/2017 12:00,7807,7922.85,7734.52,7753.98,682.6,5353970.3,7843.54
17/11/2017 13:00,7760.99,7900.47,7760.68,7816.01,663.85,5206359.14,7842.66
17/11/2017 14:00,7816.13,7940,7811.15,7904.91,404.76,3188394.6,7877.22
17/11/2017 15:00,7904.98,7990,7901.34,7964.96,717.47,5702906.53,7948.61
17/11/2017 16:00,7964.94,7993.93,7836.27,7879,689.06,5447629.86,7905.93
17/11/2017 17:00,7870,7879,7784.02,7825,735.25,5749951.39,7820.4
17/11/2017 18:00,7827.63,7869.44,7784.99,7835,272.03,2130431.39,7831.57
17/11/2017 19:00,7839.37,7860,7752.01,7812.01,349.85,2733358.86,7812.84
17/11/2017 20:00,7812,7812,7647.05,7690.1,904.89,6977728.99,7711.1
17/11/2017 21:00,7690,7727.83,7570.56,7722.39,965.97,7393779.19,7654.26
17/11/2017 22:00,7710.01,7799.96,7696.88,7750,736.6,5702715.53,7741.95
17/11/2017 23:00,7750,7765,7646.27,7674.99,350.26,2699293.01,7706.46
18/11/2017 00:00,7675,7685.42,7521,7590.06,555.88,4222448.54,7595.95
18/11/2017 01:00,7590.97,7646.27,7462.19,7487.3,611.22,4601909.26,7529.08
18/11/2017 02:00,7487.24,7555,7431.54,7469.56,422.85,3161750.12,7477.26
18/11/2017 03:00,7477.72,7646.23,7470,7600.98,382.47,2892946.57,7563.91
18/11/2017 04:00,7596.82,7722.73,7513.88,7714.34,513.73,3923954.58,7638.21
18/11/2017 05:00,7713.24,7722.73,7650.17,7690.03,143.22,1100780.36,7686.12
18/11/2017 06:00,7693.87,7704.88,7615,7622.07,181,1384782.96,7650.81
18/11/2017 07:00,7619.01,7722.73,7612.05,7722.73,199.22,1527941.32,7669.78
18/11/2017 08:00,7722.73,7824,7671.19,7781.18,432.76,3364411.78,7774.24
18/11/2017 09:00,7781.18,7821.38,7740,7808.91,121.87,949438.41,7790.36
18/11/2017 10:00,7808.91,7808.91,7722.73,7736.73,160.5,1242913.8,7743.85
18/11/2017 11:00,7746.64,7799.96,7705.73,7799.96,345.63,2678002.31,7748.27
18/11/2017 12:00,7799,7799.96,7673.08,7707.99,307.98,2380956.93,7730.78
18/11/2017 13:00,7708,7742.75,7646.27,7650,365.78,2808511.13,7678.04
18/11/2017 14:00,7650,7713.73,7646.27,7693.85,208.62,1601748.05,7678.01
18/11/2017 15:00,7697.83,7709.98,7633.3,7679.38,216.9,1661932.19,7662.23
18/11/2017 16:00,7679.23,7696.06,7633.65,7642.69,112.87,865274.3,7665.79
18/11/2017 17:00,7642.69,7752,7642.69,7724.3,453.06,3500263.25,7725.9
18/11/2017 18:00,7722.37,7790,7719.22,7756,279.24,2166207.71,7757.5
18/11/2017 19:00,7756,7783.78,7709.99,7735.42,164.92,1277249.67,7744.82
18/11/2017 20:00,7735.46,7768.58,7720.39,7743.52,175.73,1360553.29,7742.36
18/11/2017 21:00,7748.3,7858,7737.09,7834.65,567.62,4441387.45,7824.61
18/11/2017 22:00,7826.31,7837.58,7781.5,7831.21,145.49,1135582.36,7805.3
18/11/2017 23:00,7831.21,7832.06,7756.63,7771.03,258.26,2014020.9,7798.3
19/11/2017 00:00,7775.55,7800,7722.98,7743.05,221.6,1717848.24,7751.95
19/11/2017 01:00,7749.97,7820.24,7749.26,7817,101.32,789131.4,7788.75
19/11/2017 02:00,7817,7825.01,7783.93,7787.66,94.77,739574.48,7804.28
19/11/2017 03:00,7787.66,7814.63,7756.57,7776.17,75.05,584357.81,7786.43
19/11/2017 04:00,7775.36,7811.21,7771,7792.4,65.77,512753.5,7795.92
19/11/2017 05:00,7793.13,7793.13,7722.73,7753.09,111.74,866249.61,7752.63
19/11/2017 06:00,7753.59,7772.28,7725.55,7750.53,171.88,1331378.78,7745.84
19/11/2017 07:00,7750.53,7750.53,7675,7706.53,456.55,3517855.02,7705.36
19/11/2017 08:00,7722.13,7733.27,7683,7732.13,87.2,672399.85,7711.27
19/11/2017 09:00,7732.13,7794,7731.84,7770.29,234.92,1826930.42,7776.87
